rank,year,title,page,tconst,worldwide
33,2021,PAW Patrol: The Movie,https://www.imdb.com/title/tt11832046/,tt11832046,"$144,327,371"
34,2021,Tom & Jerry,https://www.imdb.com/title/tt1361336/,tt1361336,"$136,497,537"
35,2021,Be Somebody,https://www.imdb.com/title/tt16043930/,tt16043930,"$132,326,332"
36,2021,Halloween Kills,https://www.imdb.com/title/tt10665338/,tt10665338,"$131,647,155"
37,2021,Raya and the Last Dragon,https://www.imdb.com/title/tt5109280/,tt5109280,"$130,423,032"
38,2021,Sister,https://www.imdb.com/title/tt12788426/,tt12788426,"$128,317,206"
39,2021,The King's Man,https://www.imdb.com/title/tt6856242/,tt6856242,"$125,897,478"
40,2021,The Addams Family 2,https://www.imdb.com/title/tt11125620/,tt11125620,"$119,815,153"
41,2021,My Love,https://www.imdb.com/title/tt14503918/,tt14503918,"$114,016,434"
42,2021,Clifford the Big Red Dog,https://www.imdb.com/title/tt2397461/,tt2397461,"$107,347,356"
43,2021,Wrath of Man,https://www.imdb.com/title/tt11083552/,tt11083552,"$103,966,489"
44,2021,Detective Conan: The Scarlet Bullet,https://www.imdb.com/title/tt12093860/,tt12093860,"$95,580,715"
45,2021,Evangelion: 3.0+1.01 Thrice Upon a Time,https://www.imdb.com/title/tt2458948/,tt2458948,"$92,900,767"
46,2021,End Game,https://www.imdb.com/title/tt11564214/,tt11564214,"$91,824,961"
47,2021,Old,https://www.imdb.com/title/tt10954652/,tt10954652,"$90,146,510"
48,2021,Mortal Kombat,https://www.imdb.com/title/tt0293429/,tt0293429,"$84,416,731"
49,2021,Boonie Bears: The Wild Life,https://www.imdb.com/title/tt11654032/,tt11654032,"$78,131,424"
50,2021,Candyman,https://www.imdb.com/title/tt9347730/,tt9347730,"$77,411,570"
51,2021,The Forever Purge,https://www.imdb.com/title/tt10327252/,tt10327252,"$76,994,245"
52,2021,West Side Story,https://www.imdb.com/title/tt3581652/,tt3581652,"$76,016,171"
53,2021,1921,https://www.imdb.com/title/tt12624504/,tt12624504,"$75,159,828"
54,2021,Hitman's Wife's Bodyguard,https://www.imdb.com/title/tt8385148/,tt8385148,"$70,060,492"
55,2021,Escape Room: Tournament of Champions,https://www.imdb.com/title/tt9844522/,tt9844522,"$65,774,490"
56,2021,Belle,https://www.imdb.com/title/tt13651628/,tt13651628,"$64,667,894"
57,2021,Ron's Gone Wrong,https://www.imdb.com/title/tt7504818/,tt7504818,"$60,692,022"
58,2021,Cloudy Mountain,https://www.imdb.com/title/tt15413054/,tt15413054,"$58,346,882"
59,2021,Avatar 2021 Re-release,https://www.imdb.com/title/tt0499549/,tt0499549,"$57,700,000"
60,2021,Nobody,https://www.imdb.com/title/tt7888964/,tt7888964,"$57,510,518"
61,2021,Nezha Reborn,https://www.imdb.com/title/tt13269670/,tt13269670,"$56,088,478"
62,2021,Upcoming,https://www.imdb.com/title/tt13575838/,tt13575838,"$54,300,000"
63,2021,Don't Breathe 2,https://www.imdb.com/title/tt6246322/,tt6246322,"$53,785,551"
64,2021,Man in Love,https://www.imdb.com/title/tt14428606/,tt14428606,"$52,946,097"
65,2021,Break Through the Darkness,https://www.imdb.com/title/tt13655044/,tt13655044,"$52,700,000"
66,2021,Schemes in Antiques,https://www.imdb.com/title/tt11482948/,tt11482948,"$51,637,422"
67,2021,Luca,https://www.imdb.com/title/tt12801262/,tt12801262,"$49,750,471"
68,2021,Belfast,https://www.imdb.com/title/tt12789558/,tt12789558,"$48,837,176"
69,2021,My Hero Academia: World Heroes' Mission,https://www.imdb.com/title/tt13544716/,tt13544716,"$46,951,862"
70,2021,The French Dispatch,https://www.imdb.com/title/tt8847712/,tt8847712,"$46,333,545"
71,2021,In the Heights,https://www.imdb.com/title/tt1321510/,tt1321510,"$45,135,827"
72,2021,Love Will Tear Us Apart,https://www.imdb.com/title/tt14546082/,tt14546082,"$45,060,290"
73,2021,Spirit Untamed,https://www.imdb.com/title/tt11084896/,tt11084896,"$42,717,215"
74,2021,Resident Evil: Welcome to Raccoon City,https://www.imdb.com/title/tt6920084/,tt6920084,"$41,914,915"
75,2021,Spiral,https://www.imdb.com/title/tt10342730/,tt10342730,"$40,618,920"
76,2021,Snake Eyes,https://www.imdb.com/title/tt8404256/,tt8404256,"$40,064,325"
77,2021,Tokyo Revengers,https://www.imdb.com/title/tt11923304/,tt11923304,"$39,714,073"
78,2021,Nightmare Alley,https://www.imdb.com/title/tt7740496/,tt7740496,"$39,629,195"
79,2021,Nomadland,https://www.imdb.com/title/tt9770150/,tt9770150,"$39,458,207"
80,2021,King Richard,https://www.imdb.com/title/tt9620288/,tt9620288,"$39,359,895"
81,2021,Arashi Anniversary Tour 5 x 20 Film: Record of Memories,https://www.imdb.com/title/tt14734538/,tt14734538,"$38,052,695"
82,2021,The Yinyang Master,https://www.imdb.com/title/tt12151820/,tt12151820,"$37,690,000"
83,2021,Rurouni Kenshin: Final Chapter Part I - The Final,https://www.imdb.com/title/tt11809034/,tt11809034,"$36,964,978"
84,2021,The Door Lock,https://www.imdb.com/title/tt13010918/,tt13010918,"$36,100,000"
